cust_id,term,amount,apy
723761,30,344873,4.86
141235,15,438078,4.46
304444,30,350385,4.33
206303,30,304735,4.81
317623,30,273547,4.16
830896,15,391199,4.62
210486,30,567875,4.49
115318,30,334843,4.3
858581,30,308801,3.61
144897,10,397660,3.82
169490,30,390688,3.43
405364,30,378812,4.15
825859,10,495980,5.13
201025,30,384861,4.8
572562,15,499562,3.8
106520,15,396122,4.39
735070,30,349001,4.51
669171,30,438356,4.1
478730,30,361674,4.66
323345,30,460761,3.67
691968,30,419181,4.3
936107,15,296433,4.65
304862,30,377284,5.28
817631,15,388112,4.16
184653,15,534074,3.62
647250,10,279409,3.94
211203,30,552090,5.07
430108,30,263701,4.13
315027,30,319886,3.53
613235,30,314714,3.75
931948,10,463108,3.9
338913,10,342230,4.18
199185,30,505231,4.59
395761,30,403607,4.23
367137,30,278660,4.69
910146,30,267470,4.77
688724,30,273656,3.53
732522,30,336117,3.67
976580,15,361972,4.77
740918,20,433370,5.05
648169,10,326003,4.59
791367,30,337828,3.52
679105,30,295497,3.66
733809,30,443783,4.43
633422,10,335477,4.29
506249,30,257717,3.7
240923,30,409573,5.13
168103,30,284898,3.96
410939,30,220185,4.06
197695,30,484509,4.17
118567,30,384311,4.85
594025,30,324734,4.12
206264,30,359138,5.15
385208,15,394816,4.49
200604,30,541826,3.46
149396,15,368421,4.5
679143,15,422312,4.39
380670,30,367086,4.45
983249,30,380328,4.55
117008,15,270098,4.03
848776,30,363498,4.75
936606,30,450347,4.93
511171,30,511621,4.94
365539,30,356228,4.22
644553,30,271497,2.92
454884,15,342634,4.16
502578,30,390283,4.69
959381,15,326642,4.67
258880,15,230967,4.63
585295,15,453708,4.35
845460,30,429122,3.85
483209,30,384273,3.25
294833,15,138864,4.15
757226,30,259588,4.72
418538,30,388450,4.14
190009,30,371037,3.98
551951,30,317822,4.62
150101,30,309735,4.24
583206,15,344395,4.92
871450,15,328395,4.68
382032,30,403628,4.02
304787,30,396262,4.44
137529,30,281249,4.39
721136,20,417456,3.65
663287,10,398268,3.67
624670,30,328402,4.91
372640,20,356350,3.81
508846,15,389656,3.53
463688,20,327264,4.04
595937,30,366408,4.45
510559,30,462586,4.23
295535,30,365231,5.03
792600,15,331431,4.16
106153,30,272362,4.25
465156,30,328068,5.54
180564,15,454219,4.16
143604,30,325003,4.39
888978,20,332300,4.5
262066,30,470186,4.66
695384,30,343396,4.66
495004,15,363340,2.96
736752,10,417624,3.67
544529,30,311417,4.35
899406,30,229565,5.22
614971,15,469413,4.48
820901,30,351548,4.06
981482,10,354000,4.27
413207,30,407626,4.13
628730,30,400926,4.62
388951,30,284290,3.94
368412,30,429325,3.32
838295,30,404781,3.78
865490,30,364252,4.15
149306,15,405648,4.05
648188,30,342575,4.94
111410,30,387488,4.15
807208,30,311021,4.73
209240,15,385112,3.86
485055,30,434141,4.81
742572,30,257026,3.94
459507,15,395002,4.01
593744,30,393891,4.12
613956,15,467440,3.72
545754,30,288056,4.92
993515,30,380623,4.48
676949,15,282394,3.95
674642,15,446321,5.2
812672,30,468356,4.05
979175,30,325470,4.22
579489,30,520297,2.95
689342,30,397943,4.02
957783,30,289195,4.1
627229,15,310389,4.2
791712,30,281063,4.07
479480,15,336764,4.86
506839,15,448716,4.62
489244,30,535543,4.88
374489,10,517625,3.88
823964,30,319425,4.33
165726,30,350739,4.07
536128,15,382946,5.31
417428,30,439525,4.25
471216,30,255392,4.68
829041,30,408353,3.57
699847,15,383381,3.35
230737,15,493576,5.08
573586,30,300919,4.47
948654,30,507695,3.52
836345,30,303557,3.86
366013,30,431402,3.93
452744,30,474101,4.39
639700,30,499316,4.01
618873,30,323907,4.88
571963,30,236067,3.85
990362,30,387349,4.24
401703,30,344081,4.55
945862,15,486753,4.21
304210,10,306932,4.1
882080,30,413234,3.91
897414,30,318924,4.74
840588,30,347453,4.1
862974,30,352994,3.69
226686,30,318653,4.44
697697,30,247391,3.8
866864,30,375139,4.25
524547,30,268660,4.18
740647,30,373271,3.91
100501,30,395837,4.46
674027,30,323107,4.07
672044,15,285175,4.6
792006,30,338582,4.06
976042,30,379456,4.61
180553,30,329403,3.7
373670,30,486703,5.23
219843,30,328026,4.03
885651,15,378508,3.94
306151,30,521167,4.15
714928,15,407072,4.43
863613,30,402896,4.12
902517,30,408980,3.92
921557,30,272577,3.69
945162,30,363600,4.28
669600,30,330006,4.5
706100,15,452507,3.68
440573,30,398086,3.38
225555,30,363539,4.31
813069,30,373723,4.89
372314,30,313388,4.4
633929,20,387428,3.94
526106,30,424575,4.85
505230,30,366710,4.46
946962,15,361325,4.63
268364,20,408662,4.47
367598,15,359827,5.09
458823,30,356774,4.42
283609,30,252197,3.71
854297,10,437096,3.44
278638,30,336554,4.84
678184,15,313772,3.63
505614,15,451037,5.33
285446,15,413958,4.08
130365,20,442529,4.34
444925,20,286584,4.71
638470,30,372440,5.38
901813,30,503919,4.31
478034,30,391698,4.7
453472,10,385451,4.41
134363,15,290092,4.72
151344,30,383067,5.22
916650,15,299022,4.2
559991,30,465886,4.05
982169,30,362586,3.7
550831,30,377476,4.16
230326,20,327277,4.22
743818,30,329944,5.06
547447,20,337252,4.17
937811,30,465975,4.41
571322,30,311609,4.51
151579,30,466705,5.06
294379,30,377976,3.71
530243,15,397151,4.07
443415,15,370212,4.6
721449,15,442336,4.22
426039,30,288635,4.05
571627,30,393324,4.3
563373,20,331787,4.31
493462,30,441021,4.3
461712,30,319669,3.33
580590,30,333105,4.53
426692,30,457820,4.48
410962,15,389596,4.35
664472,15,209768,4.11
871071,30,186658,3.16
661299,15,384163,4.18
246328,15,323574,4.82
560464,30,318642,5.21
155634,30,272984,4.79
521578,15,434884,5.18
707841,30,291631,3.74
599779,30,380282,4.72
497955,10,452889,3.85
205398,30,390506,4.87
165062,30,414950,4.52
447244,30,266651,4.38
393052,30,533347,4.22
630900,30,414117,5.13
832408,15,388636,3.62
934170,15,346937,4.87
767216,15,241822,3.66
335711,15,332413,3.81
223859,30,345817,4.43
107536,30,334740,4.23
331760,20,375465,5.23
700689,30,400648,4.03
745177,30,441112,3.57
742369,15,384439,3.58
434074,30,196051,3.86
770083,30,367928,3.4
393693,30,433264,4.69
674065,30,331432,3.93
591696,30,442713,4.87
845200,30,410654,4.21
684325,30,396382,4.45
125305,15,441744,4.16
871263,30,322592,4.71
551248,10,423355,4.2
300506,30,296950,3.37
783058,30,441663,3.99
519595,30,343303,4.31
489701,30,387438,3.61
770368,30,299012,4.57
458910,30,403276,3.96
442599,15,439182,3.6
585178,30,323199,4.49
779941,15,368586,4.11
525155,15,406545,3.9
687144,30,284549,4.91
683423,30,419803,4.56
375452,30,372441,4.5
782975,30,464719,4.23
258142,30,351498,4.13
128275,30,521182,4.66
663965,30,499546,4.2
803039,30,410004,4.49
229395,30,333448,4.35
360606,15,430878,4.2
783304,30,367603,4.13
304020,15,370523,4.76
640267,30,336795,4.84
580311,30,404233,3.87
569371,30,563910,4.88
424555,15,221973,4.16
543848,30,342707,4.45
345507,30,369490,4.41
103800,30,381655,4.94
695623,30,431069,4.02
165739,15,509779,4.28
594382,30,259518,3.73
787004,30,421732,4.39
983853,10,364679,3.3
220256,30,386711,4.65
307111,30,414492,3.54
575025,30,479839,4.53
111984,30,345755,4.69
569046,30,424745,4.0
910715,30,352963,3.81
729383,15,337652,4.92
458762,30,274571,3.72
808261,30,479843,4.75
857483,30,285539,3.91
962072,15,321529,4.36
353921,30,317962,4.51
301225,30,320208,4.42
400656,30,390636,4.17
335422,30,330467,3.84
322844,30,366545,4.22
691036,15,470189,4.36
226672,30,384768,5.41
899143,15,370733,4.6
557908,30,515525,3.69
584737,30,406159,4.11
123026,30,460804,4.11
739292,30,366683,4.23
227977,30,487979,3.86
383105,30,324822,3.96
357947,30,300346,4.58
728203,15,387266,3.89
564738,15,346190,4.89
185875,30,407935,4.78
674986,30,412588,4.97
770876,20,398090,4.95
260407,15,323935,4.56
905352,30,343914,3.76
675271,30,345486,4.28
166574,30,359250,4.01
691049,30,319857,3.38
331898,30,331926,4.53
168589,30,436167,3.53
238351,30,499220,3.5
718228,15,442307,5.14
494891,15,337789,4.86
253184,15,342453,3.91
902795,30,308725,4.62
192432,15,402837,4.13
212625,30,386130,3.9
667811,30,330246,4.73
122162,30,339919,4.44
394950,15,390387,4.3
938766,30,395352,5.19
472669,30,404339,3.33
268669,30,459404,5.94
639381,30,446527,4.05
375948,30,366304,3.96
342627,30,524072,3.72
669241,30,292944,3.59
539219,30,267654,5.03
768958,10,368334,3.88
715926,30,316753,4.57
698736,15,455854,3.39
424552,10,501259,4.22
337940,15,423047,4.41
829212,30,411508,4.71
440529,30,405084,4.48
903903,30,288367,4.38
138959,15,415681,4.32
650807,30,396259,3.98
357087,10,368560,4.71
318912,15,274776,4.41
459692,15,419815,4.76
402749,30,387869,4.3
844709,30,306246,5.18
848343,30,401137,2.89
723823,15,389330,4.77
475433,30,327459,4.51
244020,15,396065,3.78
530434,30,439190,4.78
183843,30,331057,3.58
566728,30,463053,4.86
855788,30,415749,4.68
919815,30,332511,4.34
635214,15,276464,4.38
358589,30,373461,5.17
578917,30,423232,3.63
160795,30,283682,4.1
429647,30,208663,3.62
472156,30,445193,4.64
798506,10,338080,4.72
530101,10,377803,4.21
584254,30,409078,4.24
749051,30,328937,3.96
426343,30,358245,4.27
787904,15,403087,4.32
335311,15,451858,4.06
124890,30,217760,4.71
312435,30,341995,4.04
794819,30,488822,4.42
465136,30,444622,5.23
359450,30,417520,4.51
414115,30,404130,3.62
353379,15,269910,3.67
379781,20,387514,4.45
186637,30,122562,4.94
944401,30,275739,5.28
635488,15,338699,5.28
889921,10,384616,4.81
488514,30,447761,5.12
901317,30,363208,4.53
982019,30,490354,4.78
361536,15,299026,3.47
642613,30,210913,4.89
674526,30,367615,3.37
310362,30,216610,4.32
431809,15,356252,4.0
648117,30,431569,4.39
945046,30,211847,4.51
511081,30,384248,4.24
147375,30,365950,4.32
720319,30,456644,3.82
232678,30,265153,4.29
999277,30,284894,4.87
530447,15,518886,4.16
636657,30,442086,3.38
967665,30,334494,3.71
846744,30,493986,4.95
333739,30,436912,5.02
535589,20,334406,3.75
370619,30,348785,4.49
645140,30,293673,4.78
953730,30,214432,4.42
762190,30,364106,4.09
583047,30,511595,4.35
515814,30,341509,4.54
667540,30,423128,4.44
753260,30,353949,4.1
709233,20,450799,4.05
830835,30,419165,4.2
186098,30,433744,4.52
740975,30,425518,5.46
249454,30,411893,4.25
814739,15,348059,4.62
345221,30,366127,5.53
330036,30,331473,4.53
244767,30,316578,5.15
994870,30,272687,4.51
403041,30,170935,3.44
116793,30,399663,4.03
525198,30,441222,4.41
871032,30,416652,4.47
384360,30,360574,4.13
254799,30,483581,5.07
412215,15,552587,3.94
829152,30,468635,3.2
864777,30,452001,4.89
958538,30,269252,3.94
834768,30,483104,4.64
763975,30,303329,4.75
960930,30,412736,4.02
712720,30,389151,3.91
382897,30,251575,4.45
726244,30,487328,3.66
999628,30,425933,4.49
823558,30,384010,4.74
480626,30,404312,3.05
795752,30,330579,3.41
865369,30,367753,4.47
984947,30,528395,4.56
915925,30,369943,4.77
266950,30,407145,4.77
348961,15,465297,4.58
996651,30,447048,3.47
794344,30,487185,4.45
111335,30,361459,3.36
116822,30,381588,3.94
747702,30,360628,3.85
248938,20,367051,4.74
873936,30,420985,3.96
516910,30,315694,4.44
611351,30,424013,3.95
476221,30,282840,4.21
800982,15,233610,3.79
324618,15,393553,5.3
621408,30,429213,4.94
297706,30,348785,4.85
412673,30,400081,3.67
550893,30,276558,3.46
515300,30,282367,4.82
676290,20,455916,4.85
151800,15,310416,3.94
835322,30,254494,4.68
699439,30,341656,4.07
612563,30,235052,5.33
691283,10,378257,3.81
100083,10,330393,3.55
719483,15,278035,4.52
977706,30,305887,3.98
221371,10,378488,4.38
942759,20,498595,4.71
185345,30,508525,2.96
137776,30,425264,5.62
654387,10,482822,3.86
751302,30,423072,4.61
815992,15,474418,3.56
139719,15,224701,4.69
187742,15,314699,5.13
965688,30,289115,4.02
162333,15,344420,4.17
381156,15,327752,4.59
896441,30,345842,3.78
692755,15,442070,4.53
818410,30,356641,4.52
701177,30,309156,3.8
152292,30,425836,4.32
103422,30,309844,4.27
792048,30,305167,3.71
697920,30,247636,4.55
